2139   ℹ  INFORMATION SOURCE
1F377  🍷  WINE GLASS
1F379  🍹  TROPICAL DRINK
1F37C  🍼  BABY BOTTLE
1F38A  🎊  CONFETTI BALL
1F38B  🎋  TANABATA TREE
1F3A0  🎠  CAROUSEL HORSE
1F3A3  🎣  FISHING POLE AND FISH
1F3AA  🎪  CIRCUS TENT
1F3AD  🎭  PERFORMING ARTS
1F3AE  🎮  VIDEO GAME
1F3B2  🎲  GAME DIE
1F3B3  🎳  BOWLING
1F3B4  🎴  FLOWER PLAYING CARDS
1F3B9  🎹  MUSICAL KEYBOARD
1F3BB  🎻  VIOLIN
1F3BC  🎼  MUSICAL SCORE
1F3BD  🎽  RUNNING SHIRT WITH SASH
1F3C2  🏂  SNOWBOARDER
1F3C7  🏇  HORSE RACING
1F3C9  🏉  RUGBY FOOTBALL
1F3E1  🏡  HOUSE WITH GARDEN
1F3E4  🏤  EUROPEAN POST OFFICE
1F3EE  🏮  IZAKAYA LANTERN
1F400  🐀  RAT
1F401  🐁  MOUSE
1F402  🐂  OX
1F403  🐃  WATER BUFFALO
1F404  🐄  COW
1F405  🐅  TIGER
1F406  🐆  LEOPARD
1F407  🐇  RABBIT
1F408  🐈  CAT
1F409  🐉  DRAGON
1F40A  🐊  CROCODILE
1F40B  🐋  WHALE
1F40C  🐌  SNAIL
1F40F  🐏  RAM
1F410  🐐  GOAT
1F413  🐓  ROOSTER
1F415  🐕  DOG
1F416  🐖  PIG
1F41C  🐜  ANT
1F41D  🐝  HONEYBEE
1F41E  🐞  LADY BEETLE
1F421  🐡  BLOWFISH
1F422  🐢  TURTLE
1F423  🐣  HATCHING CHICK
1F425  🐥  FRONT-FACING BABY CHICK
1F429  🐩  POODLE
1F42A  🐪  DROMEDARY CAMEL
1F432  🐲  DRAGON FACE
1F43C  🐼  PANDA FACE
1F43D  🐽  PIG NOSE
1F43E  🐾  PAW PRINTS
1F445  👅  TONGUE
1F453  👓  EYEGLASSES
1F456  👖  JEANS
1F45A  👚  WOMANS CLOTHES
1F45B  👛  PURSE
1F45D  👝  POUCH
1F45E  👞  MANS SHOE
1F464  👤  BUST IN SILHOUETTE
1F465  👥  BUSTS IN SILHOUETTE
1F46A  👪  FAMILY
1F46C  👬  TWO MEN HOLDING HANDS
1F46D  👭  TWO WOMEN HOLDING HANDS
1F470  👰  BRIDE WITH VEIL
1F479  👹  JAPANESE OGRE
1F47A  👺  JAPANESE GOBLIN
1F48C  💌  LOVE LETTER
1F495  💕  TWO HEARTS
1F496  💖  SPARKLING HEART
1F49E  💞  REVOLVING HEARTS
1F4A0  💠  DIAMOND SHAPE WITH A DOT INSIDE
1F4A5  💥  COLLISION SYMBOL
1F4A7  💧  DROPLET
1F4AB  💫  DIZZY SYMBOL
1F4AC  💬  SPEECH BALLOON
1F4AD  💭  THOUGHT BALLOON
1F4AE  💮  WHITE FLOWER
1F4AF  💯  HUNDRED POINTS SYMBOL
1F4B2  💲  HEAVY DOLLAR SIGN
1F4B3  💳  CREDIT CARD
1F4B4  💴  BANKNOTE WITH YEN SIGN
1F4B5  💵  BANKNOTE WITH DOLLAR SIGN
1F4B6  💶  BANKNOTE WITH EURO SIGN
1F4B7  💷  BANKNOTE WITH POUND SIGN
1F4B8  💸  MONEY WITH WINGS
1F4BE  💾  FLOPPY DISK
1F4C1  📁  FILE FOLDER
1F4C2  📂  OPEN FILE FOLDER
1F4C3  📃  PAGE WITH CURL
1F4C4  📄  PAGE FACING UP
1F4C5  📅  CALENDAR
1F4C6  📆  TEAR-OFF CALENDAR
1F4C7  📇  CARD INDEX
1F4C8  📈  CHART WITH UPWARDS TREND
1F4C9  📉  CHART WITH DOWNWARDS TREND
1F4CA  📊  BAR CHART
1F4CB  📋  CLIPBOARD
1F4CC  📌  PUSHPIN
1F4CD  📍  ROUND PUSHPIN
1F4CE  📎  PAPERCLIP
1F4CF  📏  STRAIGHT RULER
1F4D0  📐  TRIANGULAR RULER
1F4D1  📑  BOOKMARK TABS
1F4D2  📒  LEDGER
1F4D3  📓  NOTEBOOK
1F4D4  📔  NOTEBOOK WITH DECORATIVE COVER
1F4D5  📕  CLOSED BOOK
1F4D7  📗  GREEN BOOK
1F4D8  📘  BLUE BOOK
1F4D9  📙  ORANGE BOOK
1F4DA  📚  BOOKS
1F4DB  📛  NAME BADGE
1F4DC  📜  SCROLL
1F4DE  📞  TELEPHONE RECEIVER
1F4DF  📟  PAGER
1F4E4  📤  OUTBOX TRAY
1F4E5  📥  INBOX TRAY
1F4E6  📦  PACKAGE
1F4E7  📧  E-MAIL SYMBOL
1F4E8  📨  INCOMING ENVELOPE
1F4EA  📪  CLOSED MAILBOX WITH LOWERED FLAG
1F4EC  📬  OPEN MAILBOX WITH RAISED FLAG
1F4ED  📭  OPEN MAILBOX WITH LOWERED FLAG
1F4EF  📯  POSTAL HORN
1F4F0  📰  NEWSPAPER
1F4F5  📵  NO MOBILE PHONES
1F4F9  📹  VIDEO CAMERA
1F500  🔀  TWISTED RIGHTWARDS ARROWS
1F501  🔁  CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS
1F502  🔂  CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY
1F503  🔃  CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS
1F504  🔄  ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS
1F505  🔅  LOW BRIGHTNESS SYMBOL
1F506  🔆  HIGH BRIGHTNESS SYMBOL
1F507  🔇  SPEAKER WITH CANCELLATION STROKE
1F508  🔈  SPEAKER
1F509  🔉  SPEAKER WITH ONE SOUND WAVE
1F50B  🔋  BATTERY
1F50C  🔌  ELECTRIC PLUG
1F50E  🔎  RIGHT-POINTING MAGNIFYING GLASS
1F50F  🔏  LOCK WITH INK PEN
1F510  🔐  CLOSED LOCK WITH KEY
1F515  🔕  BELL WITH CANCELLATION STROKE
1F516  🔖  BOOKMARK
1F517  🔗  LINK SYMBOL
1F518  🔘  RADIO BUTTON
1F519  🔙  BACK WITH LEFTWARDS ARROW ABOVE
1F51A  🔚  END WITH LEFTWARDS ARROW ABOVE
1F51B  🔛  ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE
1F51C  🔜  SOON WITH RIGHTWARDS ARROW ABOVE
1F51F  🔟  KEYCAP TEN
1F520  🔠  INPUT SYMBOL FOR LATIN CAPITAL LETTERS
1F521  🔡  INPUT SYMBOL FOR LATIN SMALL LETTERS
1F522  🔢  INPUT SYMBOL FOR NUMBERS
1F523  🔣  INPUT SYMBOL FOR SYMBOLS
1F524  🔤  INPUT SYMBOL FOR LATIN LETTERS
1F526  🔦  ELECTRIC TORCH
1F527  🔧  WRENCH
1F529  🔩  NUT AND BOLT
1F52A  🔪  HOCHO
1F52C  🔬  MICROSCOPE
1F52D  🔭  TELESCOPE
1F52E  🔮  CRYSTAL BALL
1F535  🔵  LARGE BLUE CIRCLE
1F536  🔶  LARGE ORANGE DIAMOND
1F537  🔷  LARGE BLUE DIAMOND
1F538  🔸  SMALL ORANGE DIAMOND
1F539  🔹  SMALL BLUE DIAMOND
1F53A  🔺  UP-POINTING RED TRIANGLE
1F53B  🔻  DOWN-POINTING RED TRIANGLE
1F53C  🔼  UP-POINTING SMALL RED TRIANGLE
1F53D  🔽  DOWN-POINTING SMALL RED TRIANGLE
1F55A  🕚  CLOCK FACE ELEVEN OCLOCK
1F55C  🕜  CLOCK FACE ONE-THIRTY
1F55D  🕝  CLOCK FACE TWO-THIRTY
1F55E  🕞  CLOCK FACE THREE-THIRTY
1F55F  🕟  CLOCK FACE FOUR-THIRTY
1F560  🕠  CLOCK FACE FIVE-THIRTY
1F561  🕡  CLOCK FACE SIX-THIRTY
1F562  🕢  CLOCK FACE SEVEN-THIRTY
1F563  🕣  CLOCK FACE EIGHT-THIRTY
1F564  🕤  CLOCK FACE NINE-THIRTY
1F565  🕥  CLOCK FACE TEN-THIRTY
1F566  🕦  CLOCK FACE ELEVEN-THIRTY
1F567  🕧  CLOCK FACE TWELVE-THIRTY
1F5FE  🗾  SILHOUETTE OF JAPAN
1F5FF  🗿  MOYAI
1F605  😅  SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
1F606  😆  SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
1F607  😇  SMILING FACE WITH HALO
1F608  😈  SMILING FACE WITH HORNS
1F60B  😋  FACE SAVOURING DELICIOUS FOOD
1F60E  😎  SMILING FACE WITH SUNGLASSES
1F610  😐  NEUTRAL FACE
1F624  😤  FACE WITH LOOK OF TRIUMPH
1F629  😩  WEARY FACE
1F62B  😫  TIRED FACE
1F635  😵  DIZZY FACE
1F636  😶  FACE WITHOUT MOUTH
1F638  😸  GRINNING CAT FACE WITH SMILING EYES
1F639  😹  CAT FACE WITH TEARS OF JOY
1F63A  😺  SMILING CAT FACE WITH OPEN MOUTH
1F63B  😻  SMILING CAT FACE WITH HEART-SHAPED EYES
1F63C  😼  CAT FACE WITH WRY SMILE
1F63D  😽  KISSING CAT FACE WITH CLOSED EYES
1F63E  😾  POUTING CAT FACE
1F63F  😿  CRYING CAT FACE
1F640  🙀  WEARY CAT FACE
1F648  🙈  SEE-NO-EVIL MONKEY
1F649  🙉  HEAR-NO-EVIL MONKEY
1F64A  🙊  SPEAK-NO-EVIL MONKEY
1F64B  🙋  HAPPY PERSON RAISING ONE HAND
1F64D  🙍  PERSON FROWNING
1F64E  🙎  PERSON WITH POUTING FACE
1F681  🚁  HELICOPTER
1F682  🚂  STEAM LOCOMOTIVE
1F686  🚆  TRAIN
1F688  🚈  LIGHT RAIL
1F68A  🚊  TRAM
1F68B  🚋  TRAM CAR
1F68D  🚍  ONCOMING BUS
1F68E  🚎  TROLLEYBUS
1F690  🚐  MINIBUS
1F694  🚔  ONCOMING POLICE CAR
1F696  🚖  ONCOMING TAXI
1F698  🚘  ONCOMING AUTOMOBILE
1F69B  🚛  ARTICULATED LORRY
1F69C  🚜  TRACTOR
1F69D  🚝  MONORAIL
1F69E  🚞  MOUNTAIN RAILWAY
1F69F  🚟  SUSPENSION RAILWAY
1F6A0  🚠  MOUNTAIN CABLEWAY
1F6A1  🚡  AERIAL TRAMWAY
1F6A3  🚣  ROWBOAT
1F6A6  🚦  VERTICAL TRAFFIC LIGHT
1F6A8  🚨  POLICE CARS REVOLVING LIGHT
1F6A9  🚩  TRIANGULAR FLAG ON POST
1F6AA  🚪  DOOR
1F6AB  🚫  NO ENTRY SIGN
1F6AE  🚮  PUT LITTER IN ITS PLACE SYMBOL
1F6AF  🚯  DO NOT LITTER SYMBOL
1F6B0  🚰  POTABLE WATER SYMBOL
1F6B1  🚱  NON-POTABLE WATER SYMBOL
1F6B3  🚳  NO BICYCLES
1F6B4  🚴  BICYCLIST
1F6B5  🚵  MOUNTAIN BICYCLIST
1F6B7  🚷  NO PEDESTRIANS
1F6B8  🚸  CHILDREN CROSSING
1F6BF  🚿  SHOWER
1F6C1  🛁  BATHTUB
1F6C2  🛂  PASSPORT CONTROL
1F6C3  🛃  CUSTOMS
1F6C4  🛄  BAGGAGE CLAIM
1F6C5  🛅  LEFT LUGGAGE
